GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US06,06,California,63783,188
0500000US06075,06075,"San Francisco County, California",87701,1447
8600000US89010,89010,ZCTA5 89010,42250,16704
8600000US89019,89019,ZCTA5 89019,37344,15580
8600000US89046,89046,ZCTA5 89046,28889,6562
8600000US89060,89060,ZCTA5 89060,36617,6783
8600000US89061,89061,ZCTA5 89061,57480,8093
8600000US89439,89439,ZCTA5 89439,61071,25188
8600000US90001,90001,ZCTA5 90001,34323,1369
8600000US90002,90002,ZCTA5 90002,32520,2461
8600000US90003,90003,ZCTA5 90003,31878,1140
8600000US90004,90004,ZCTA5 90004,43180,2040
8600000US90005,90005,ZCTA5 90005,31485,862
8600000US90006,90006,ZCTA5 90006,31993,694
8600000US90007,90007,ZCTA5 90007,22485,1404
8600000US90008,90008,ZCTA5 90008,36134,3398
8600000US90010,90010,ZCTA5 90010,47569,12828
8600000US90011,90011,ZCTA5 90011,31684,827
8600000US90012,90012,ZCTA5 90012,32712,4522
8600000US90013,90013,ZCTA5 90013,22058,4074
8600000US90014,90014,ZCTA5 90014,23580,5613
8600000US90015,90015,ZCTA5 90015,30463,3416
8600000US90016,90016,ZCTA5 90016,41140,2273
8600000US90017,90017,ZCTA5 90017,25143,1932
8600000US90018,90018,ZCTA5 90018,35696,1643
8600000US90019,90019,ZCTA5 90019,47518,2788
8600000US90020,90020,ZCTA5 90020,40353,2242
8600000US90021,90021,ZCTA5 90021,12370,1430
8600000US90022,90022,ZCTA5 90022,40650,1629
8600000US90023,90023,ZCTA5 90023,37472,2498
8600000US90024,90024,ZCTA5 90024,57210,4979
8600000US90025,90025,ZCTA5 90025,72653,4246
8600000US90026,90026,ZCTA5 90026,51568,2692
8600000US90027,90027,ZCTA5 90027,52922,2517
8600000US90028,90028,ZCTA5 90028,35729,2510
8600000US90029,90029,ZCTA5 90029,35132,2306
8600000US90031,90031,ZCTA5 90031,36801,2528
8600000US90032,90032,ZCTA5 90032,45218,2447
8600000US90033,90033,ZCTA5 90033,29499,1638
8600000US90034,90034,ZCTA5 90034,60965,1937
8600000US90035,90035,ZCTA5 90035,74667,5546
8600000US90036,90036,ZCTA5 90036,71917,2976
8600000US90037,90037,ZCTA5 90037,27129,1486
8600000US90038,90038,ZCTA5 90038,35739,2759
8600000US90039,90039,ZCTA5 90039,77361,5650
8600000US90040,90040,ZCTA5 90040,41897,3663
8600000US90041,90041,ZCTA5 90041,68457,7702
8600000US90042,90042,ZCTA5 90042,51444,1616
8600000US90043,90043,ZCTA5 90043,41449,2852
8600000US90044,90044,ZCTA5 90044,30288,1052
8600000US90045,90045,ZCTA5 90045,81058,4427
8600000US90046,90046,ZCTA5 90046,61157,2971
8600000US90047,90047,ZCTA5 90047,40913,2962
8600000US90048,90048,ZCTA5 90048,83672,5798
8600000US90049,90049,ZCTA5 90049,117007,7824
8600000US90056,90056,ZCTA5 90056,74959,16113
8600000US90057,90057,ZCTA5 90057,29332,1708
8600000US90058,90058,ZCTA5 90058,15224,2947
8600000US90059,90059,ZCTA5 90059,35061,2654
8600000US90061,90061,ZCTA5 90061,36094,3781
8600000US90062,90062,ZCTA5 90062,37293,3166
8600000US90063,90063,ZCTA5 90063,41267,1735
8600000US90064,90064,ZCTA5 90064,92626,5326
