business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,address2
88182,Tammy's Chicken In Waffles,1 Avenue of the Palms  #021,San Francisco,CA,94130,NA,NA,,14155675323,88182_20160630,6/30/2016 0:00,NA,New Construction,,,,"1 Avenue of the Palms  #021, San Francisco, CA"
92767,Island Market and Deli,"1 Avenue of the Palms,  Suite A",San Francisco,CA,94130,NA,NA,,NA,92767_20180112,1/12/2018 0:00,NA,New Construction,92767_20180112_103161,Low risk vermin infestation,Low Risk,"1 Avenue of the Palms,  Suite A, San Francisco, CA"
91571,Fullskoop Inc.,1 Bush St,San Francisco,CA,94104,NA,NA,,14155990033,91571_20171018,10/18/2017 0:00,90,Routine - Unscheduled,91571_20171018_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,"1 Bush St, San Francisco, CA"
81303,Village Pizzeria,1 Clement St,San Francisco,CA,94118,NA,NA,,14155222100,81303_20180104,1/4/2018 0:00,87,Routine - Unscheduled,81303_20180104_103102,Unclean hands or improper use of gloves,High Risk,"1 Clement St, San Francisco, CA"
82873,Annakoot #2,1 Embarcadero,San Francisco,CA,94111,NA,NA,,NA,82873_20180307,3/7/2018 0:00,73,Routine - Unscheduled,82873_20180307_103103,High risk food holding temperature,High Risk,"1 Embarcadero, San Francisco, CA"
90945,"Gambinos Deli, Inc.",1 Embarcadrero Center,San Francisco,CA,94111,NA,NA,,NA,90945_20170607,6/7/2017 0:00,NA,Non-inspection site visit,,,,"1 Embarcadrero Center, San Francisco, CA"
91574,Donut Farm,1 Ferry Building   #14A,San Francisco,CA,94111,NA,NA,,NA,91574_20170605,6/5/2017 0:00,100,Routine - Unscheduled,,,,"1 Ferry Building   #14A, San Francisco, CA"
94142,"Dandelion Chocolate, inc.",1 Ferry Building  #14,San Francisco,CA,94111,NA,NA,,NA,94142_20171215,12/15/2017 0:00,NA,New Construction,,,,"1 Ferry Building  #14, San Francisco, CA"
85430,Fort Point Beer Company,1 Ferry Building  #54,San Francisco,CA,94111,NA,NA,,NA,85430_20151222,12/22/2015 0:00,NA,Non-inspection site visit,,,,"1 Ferry Building  #54, San Francisco, CA"
90281,Blue Bottle Coffee,1 Ferry Building  #7,San Francisco,CA,94111,NA,NA,,NA,90281_20170206,2/6/2017 0:00,NA,New Ownership,90281_20170206_103157,Food safety certificate or food handler card not available,Low Risk,"1 Ferry Building  #7, San Francisco, CA"
85051,Blue Bottle Coffee,1 Ferry Building  Kiosk #56,San Francisco,CA,94111,NA,NA,,NA,85051_20161227,12/27/2016 0:00,92,Routine - Unscheduled,85051_20161227_103154,Unclean or degraded floors walls or ceilings,Low Risk,"1 Ferry Building  Kiosk #56, San Francisco, CA"
94143,vive la tarte,1 Ferry Building  North Arcade 50/50A,San Francisco,CA,94111,NA,NA,,NA,94143_20180111,1/11/2018 0:00,100,Routine - Unscheduled,,,,"1 Ferry Building  North Arcade 50/50A, San Francisco, CA"
93393,Hidden Star Orchards,1 Ferry Building  Suite 50,San Francisco,CA,94111,NA,NA,,14150668620,93393_20180206,2/6/2018 0:00,100,Routine - Unscheduled,,,,"1 Ferry Building  Suite 50, San Francisco, CA"
